Unique ID,Title,Language,Path,Link weight,Body
page1,Resource Exchange,en,resource-exchange,10,"<a href=\/\">Click here to go back to Homepage.</a>"
page2,Dreams Accelerator,en,dreams-accelerator,20,"<strong>The Dreams Accelerator</strong> is a tool that would allow you to describe your dream or initiative, and get assistance from friends on the net. In the current preliminary stage, it's possible to create simple requests or offers in the system.<br/><a href=\/node/add/request\">Create New Request</a> <a href=\"/node/add/offer\">Create New Offer</a>"
page3,Learning center,en,learning-center,30,"<strong>The Learning Center</strong> is a space for sharing knowledge and developing new knowledge. The Learning Center is still under construction. In the mean time, you can <a href=\http://active-studio.co.il/cl/Likeabee/LearningCenter_English/LearningCenter_English.html\">sneak peek in how it's gonna look like in this link.</a>"
page4,Groups,en,groups,40,"<strong>The Groups Space</strong> allows every group to manage its own content in the Imanimo. On the group page there's space for info about the grou and for content posted to the group: initiatives, offers and requests for the group. In the future, each group will be able to define it's own group currency."
page5,החלפת משאבים,he,resource-exchange,50,"<a href=\/\">הקלק/י כאן כדי לחזור דף הבית.</a>"
page6,מאיץ החלומות,he,dreams-accelerator,60,"<strong>מאיץ החלומות</strong> הוא כלי שיאפשר לך לתאר את החלום או היוזמה שלך, ולקבל סיוע מחברים ברשת. בשלב הראשוני הנוכחי, ניתן ליצור בקשות או הצעות פשוטות במערכת.<br/><a href=\/node/add/request\">יצירת בקשה חדשה</a> <a href=\"/node/add/offer\">יצירת הצעה חדשה</a>"
page7,מרכז מידע,he,learning-center,70,"<strong>מרכז הלמידה</strong> הוא מרחב שבו ניתן לשתף ידע ולפתח ידע חדש. מרכז הלמידה עדיין בפיתוח. בנתיים ניתן <a href=\http://active-studio.co.il/cl/Likeabee/LearningCenter_English/LearningCenter_English.html\">להציץ לחזון הנראות של מרכז המידע בקישור הבא.</a>"
page8,קבוצות,he,groups,80,"<strong>מרחב הקבוצות</strong> מאפשר לכל קבוצה לנהל את התוכן שלה בכוורת. בדף הקבוצה יש מקום למידע על הקבוצה ועל התכנים שפורסמו בקבוצה: ניהול של יוזמות, הצעות ובקשות לקבוצה. בעתיד תוכל כל קבוצה להגדיר לעצמה מטבע קבוצתי."
